CDU_ID,GEO_CODE,GEO_LABEL,Deprivation,Households_not_deprived,Total_methods_travel ,Work_from_home,Public_transport,Car_or_van,Other_travel
10475,E02000559,Islington 006,3882,1678,5344,488,3412,403,1041
10476,E02000560,Islington 007,3177,1102,4069,313,2625,350,781
10477,E02000561,Islington 008,3413,1632,4352,565,2264,459,1064
10478,E02000562,Islington 009,3594,1461,4090,434,2262,397,997
10479,E02000563,Islington 010,3652,1127,4017,353,2328,365,971
10480,E02000564,Islington 011,5004,1656,6247,409,4022,465,1351
10481,E02000565,Islington 012,3610,1278,3937,399,2257,358,923
10482,E02000566,Islington 013,3662,1751,4896,531,2807,374,1184
10483,E02000567,Islington 014,4937,1966,5851,522,3314,485,1530
10484,E02000568,Islington 015,4063,955,3963,299,2229,400,1035
10485,E02000569,Islington 016,4745,1876,5154,430,2977,444,1303
10486,E02000570,Islington 017,4119,1989,5336,617,2579,408,1732
10487,E02000571,Islington 018,3777,1352,4044,337,2053,327,1327
10488,E02000572,Islington 019,3490,864,3364,284,1773,293,1014
10489,E02000573,Islington 020,4204,1945,5266,599,2517,306,1844
10490,E02000574,Islington 021,3840,1460,4514,485,2046,296,1687
10491,E02000575,Islington 022,5583,2063,6199,652,2309,321,2917
10492,E02000576,Islington 023,4322,1317,4316,416,1687,299,1914
10493,E02000577,Kensington and Chelsea 001,3163,626,2876,299,1486,430,661
10494,E02000578,Kensington and Chelsea 002,2454,587,2271,232,1152,385,502
10495,E02000579,Kensington and Chelsea 003,4013,1465,4414,662,2086,678,988
10496,E02000580,Kensington and Chelsea 004,4517,1474,4737,688,2455,520,1074
10497,E02000581,Kensington and Chelsea 005,3311,801,2920,310,1501,403,706
10498,E02000582,Kensington and Chelsea 006,3946,1780,4505,741,2517,386,861
10499,E02000583,Kensington and Chelsea 007,3496,1779,4015,785,1963,457,810
10500,E02000584,Kensington and Chelsea 008,3922,2166,4527,916,2284,439,888
10501,E02000585,Kensington and Chelsea 009,3919,1908,4310,871,2058,595,786
10502,E02000586,Kensington and Chelsea 010,3729,2042,4076,809,1876,481,910
10503,E02000587,Kensington and Chelsea 011,3536,1907,3818,763,1877,409,769
10504,E02000588,Kensington and Chelsea 012,4458,2348,4665,1020,1930,461,1254
10505,E02000589,Kensington and Chelsea 013,4422,1860,4412,672,2466,446,828
10506,E02000590,Kensington and Chelsea 014,3890,1439,3493,557,1744,364,828
10507,E02000591,Kensington and Chelsea 015,3589,1193,3623,486,2143,343,651
10508,E02000592,Kensington and Chelsea 016,3583,1853,3849,654,2106,366,723
10509,E02000593,Kensington and Chelsea 017,4067,1799,4447,672,2526,468,781
10510,E02000594,Kensington and Chelsea 018,3710,2054,3912,856,1637,483,936
10511,E02000595,Kensington and Chelsea 019,3747,1946,3954,764,1703,521,966
10512,E02000596,Kensington and Chelsea 020,3605,2043,4271,722,1955,575,1019
10513,E02000597,Kensington and Chelsea 021,3459,1208,3291,489,1586,457,759
10514,E02000598,Kingston upon Thames 001,3001,1775,3937,563,1183,1425,766
10515,E02000599,Kingston upon Thames 002,2368,1369,3182,574,1039,1189,380
10516,E02000600,Kingston upon Thames 003,3354,1820,4215,604,1721,1060,830
10517,E02000601,Kingston upon Thames 004,4245,2398,5523,667,2181,1429,1246
10518,E02000602,Kingston upon Thames 005,3997,1635,4724,455,1755,1224,1290
10519,E02000603,Kingston upon Thames 006,2798,1143,3712,350,1231,1293,838
10520,E02000604,Kingston upon Thames 007,3343,1646,4348,444,1894,1290,720
10521,E02000605,Kingston upon Thames 008,3013,1548,3937,470,1449,1386,632
10522,E02000606,Kingston upon Thames 009,4799,2616,5810,601,2560,1405,1244
10523,E02000607,Kingston upon Thames 010,2497,1424,3420,354,1264,1062,740
10524,E02000608,Kingston upon Thames 011,3182,1662,4116,465,2095,952,604
10525,E02000609,Kingston upon Thames 012,2741,1230,3431,411,1040,1563,417
10526,E02000610,Kingston upon Thames 013,3785,1796,4266,447,1966,1155,698
10527,E02000611,Kingston upon Thames 014,2649,1424,3656,445,996,1671,544
10528,E02000612,Kingston upon Thames 015,3051,1635,4119,480,1429,1734,476
10529,E02000613,Kingston upon Thames 016,3174,1742,4195,462,1610,1498,625
10530,E02000614,Kingston upon Thames 017,3072,1323,4290,334,1314,1907,735
10531,E02000615,Kingston upon Thames 018,2916,1344,3927,348,961,2012,606
10532,E02000616,Kingston upon Thames 019,2363,1192,3341,250,737,1901,453
10533,E02000617,Kingston upon Thames 020,3291,1453,4285,370,1045,2298,572
10534,E02000619,Lambeth 002,3743,1279,4006,367,2119,347,1173
10535,E02000620,Lambeth 003,4398,1641,5318,460,2976,381,1501
10536,E02000621,Lambeth 004,5083,1998,6284,492,3938,433,1421
10537,E02000622,Lambeth 005,3482,1438,4831,389,3024,363,1055
10538,E02000623,Lambeth 006,3409,1048,4027,286,2545,426,770
10539,E02000624,Lambeth 007,3500,1206,4186,285,2767,380,754
10540,E02000625,Lambeth 008,3383,969,4102,240,2749,403,710
10541,E02000626,Lambeth 009,3443,881,3586,279,2188,401,718
10542,E02000627,Lambeth 010,4042,1471,5573,395,3852,409,917
10543,E02000628,Lambeth 011,3972,1034,4579,325,3145,412,697
10544,E02000629,Lambeth 012,3973,1797,5928,467,4036,485,940
10545,E02000630,Lambeth 013,3336,1638,4715,453,3086,379,797
10546,E02000631,Lambeth 014,3723,1727,4995,472,2759,545,1219
10547,E02000632,Lambeth 015,4148,2061,6872,434,4876,482,1080
10548,E02000633,Lambeth 016,3872,1374,4677,407,3068,353,849
10549,E02000634,Lambeth 017,3021,1173,4007,267,2805,342,593
10550,E02000635,Lambeth 018,4066,1772,5317,493,3313,495,1016
10551,E02000636,Lambeth 019,3076,1854,4945,534,3118,458,835
10552,E02000637,Lambeth 020,3935,1734,5541,440,3527,502,1072
10553,E02000638,Lambeth 021,4104,1527,5381,422,3485,604,870
10554,E02000639,Lambeth 022,3398,984,3954,273,2630,493,558
10555,E02000640,Lambeth 023,3785,2053,5517,405,3560,671,881
10556,E02000641,Lambeth 024,3442,976,3849,247,2500,553,549
10557,E02000642,Lambeth 025,4162,1885,4998,480,2978,718,822
10558,E02000643,Lambeth 026,3589,1539,4709,423,2993,657,636
10559,E02000644,Lambeth 027,3565,1557,4689,428,2787,788,686
10560,E02000645,Lambeth 028,3870,1773,4916,524,2879,766,747
10561,E02000646,Lambeth 029,3842,1733,5498,498,3407,865,728
10562,E02000647,Lambeth 030,3444,1522,4414,469,2383,936,626
10563,E02000648,Lambeth 031,3232,999,3186,262,1855,660,409
10564,E02000649,Lambeth 032,4887,1959,6398,560,4117,890,831
10565,E02000650,Lambeth 033,3233,1313,3706,368,2221,625,492
10566,E02000651,Lambeth 034,3492,1365,4528,446,2718,833,531
10567,E02000652,Lambeth 035,2527,901,3472,276,2027,831,338
10568,E02000653,Lewisham 001,3547,1153,4232,256,2775,585,616
10569,E02000654,Lewisham 002,3336,804,3349,237,2109,500,503
10570,E02000655,Lewisham 003,3366,1044,4085,258,2712,547,568
10571,E02000657,Lewisham 005,3776,1380,4874,444,3161,543,726
10572,E02000658,Lewisham 006,3538,1345,4415,471,2679,577,688
10573,E02000659,Lewisham 007,3284,1587,3932,401,2471,566,494
10574,E02000660,Lewisham 008,3659,1469,4842,448,3222,550,622
10575,E02000661,Lewisham 009,3139,1594,3663,363,2425,504,371
10576,E02000662,Lewisham 010,3317,1326,4259,393,2549,718,599
10577,E02000663,Lewisham 011,2903,1289,3879,366,2354,574,585
10578,E02000664,Lewisham 012,4452,1415,4983,381,3300,678,624
10579,E02000665,Lewisham 013,3504,1491,4335,321,2677,745,592
